id,token_address,timestamp,moralis_score,top10_holders_percent,experienced_buyers,experienced_sellers,holders_by_swap,holders_by_transfer,total_holders,category
77,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:31:55.593343,44,62.13,,,,,,
78,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:32:53.857072,52,68.67,,,,,,
79,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:32:54.394223,48,57.97,,,,,,
80,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:32:55.065448,32,100.0,,,,,,
81,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:32:55.682777,41,55.73,,,,,,
82,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:32:56.234685,44,62.13,,,,,,
83,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:32:57.184702,47,44.8,,,,,,
84,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:33:52.139087,52,68.67,,,,,,
85,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:33:52.739334,48,57.97,,,,,,
86,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:33:53.454891,32,100.0,,,,,,
87,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:33:54.396711,41,55.73,,,,,,
88,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:33:55.701519,47,41.4,,,,,,
89,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:33:56.467946,49,44.8,,,,,,
90,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:34:53.271757,52,68.67,,,,,,
91,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:34:54.077817,48,57.97,,,,,,
92,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:34:54.993906,32,100.0,,,,,,
93,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:34:55.992351,41,55.73,,,,,,
94,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:34:56.957818,48,41.4,,,,,,
95,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:34:58.454826,49,44.8,,,,,,
96,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:35:54.305306,52,68.67,,,,,,
97,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:35:55.262789,48,57.97,,,,,,
98,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:35:56.073750,32,100.0,,,,,,
99,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:35:56.608788,41,55.73,,,,,,
100,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:35:57.149305,48,41.4,,,,,,
101,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:35:57.674832,49,44.8,,,,,,
102,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:36:53.857220,52,68.67,,,,,,
103,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:36:54.942539,48,57.97,,,,,,
104,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:36:55.964108,33,100.0,,,,,,
105,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:36:56.812945,41,54.98,,,,,,
106,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:36:57.355682,49,41.4,,,,,,
107,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:36:58.186621,49,44.8,,,,,,
108,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:37:52.903758,44,82.61,,,,,,
109,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:37:53.994095,48,57.97,,,,,,
110,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:37:55.028767,33,100.0,,,,,,
111,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:37:55.594711,41,54.98,,,,,,
112,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:37:56.268790,49,41.4,,,,,,
113,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:37:57.551608,49,44.8,,,,,,
114,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:38:53.717510,44,82.61,,,,,,
115,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:38:54.286291,48,54.92,,,,,,
116,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:38:54.872812,33,100.0,,,,,,
